data,descricao,entrada,saida,id_cliente,data_vencimento,data_pagamento,valor_fatura
2023-01-01,Salários,0.0,1233.7283939206586,F001,2023-01-01,2023-01-01,1233.7283939206586
2023-01-01,Assinatura Trimestral,706.3055858121174,0.0,C379,2023-01-31,2023-02-13,706.3055858121174
2023-01-01,Despesa Patrocínios,0.0,642.9740136112474,FIN,2023-01-01,2023-01-02,642.9740136112474
2023-01-01,Compra Equipamentos,0.0,1095.158228469401,F001,2023-01-01,2023-01-05,1095.158228469401
2023-01-01,Pagamento Seguros,0.0,497.09110809261085,MKT,2023-01-01,2023-01-05,497.09110809261085
2023-01-01,Assinatura Trimestral,1828.751061295491,0.0,C267,2023-01-31,2023-02-14,1828.751061295491
2023-01-01,Produto C,1048.8713404352598,0.0,C427,2023-01-31,2023-02-09,1048.8713404352598
2023-01-01,Assinatura Trimestral,1411.4313576391974,0.0,C042,2023-01-31,2023-02-10,1411.4313576391974
2023-01-02,Produto D,1333.9880860531653,0.0,C108,2023-02-01,2023-01-30,1333.9880860531653
2023-01-02,Assinatura Anual,875.0089501679566,0.0,C214,2023-02-01,2023-02-08,875.0089501679566
2023-01-02,Produto A,1026.4589851968417,0.0,C479,2023-02-01,2023-02-05,1026.4589851968417
2023-01-02,Suporte,1649.7288713620828,0.0,C245,2023-02-01,2023-02-04,1649.7288713620828
2023-01-02,Assinatura Trimestral,1114.8704086923951,0.0,C198,2023-02-01,2023-02-03,1114.8704086923951
2023-01-02,Consultoria,1756.4522102107187,0.0,C201,2023-02-01,2023-02-06,1756.4522102107187
2023-01-03,Assinatura Trimestral,1092.1410699524058,0.0,C353,2023-02-02,2023-02-03,1092.1410699524058
2023-01-03,Assinatura Anual,1589.8082786544915,0.0,C088,2023-02-02,2023-02-09,1589.8082786544915
2023-01-03,Produto A,1535.9522110047426,0.0,C080,2023-02-02,2023-02-09,1535.9522110047426
2023-01-04,Produto D,1029.884262354071,0.0,C288,2023-02-03,2023-02-12,1029.884262354071
2023-01-04,Despesa Patrocínios,0.0,1217.0776473488463,G006,2023-01-04,2023-01-08,1217.0776473488463
2023-01-04,Produto A,1351.0071740055214,0.0,C186,2023-02-03,2023-02-08,1351.0071740055214
2023-01-04,Produto C,1199.1749347365217,0.0,C315,2023-02-03,2023-02-06,1199.1749347365217
2023-01-04,Assinatura Trimestral,1608.683531239317,0.0,C049,2023-02-03,2023-02-11,1608.683531239317
2023-01-04,Pagamento Impostos,0.0,1284.4791988441837,S008,2023-01-04,2023-01-09,1284.4791988441837
2023-01-05,Suporte,1441.179471370403,0.0,C064,2023-02-04,2023-02-15,1441.179471370403
2023-01-05,Produto A,949.8994904212535,0.0,C036,2023-02-04,2023-02-14,949.8994904212535
2023-01-05,Pagamento Impostos,0.0,619.6159099573085,S008,2023-01-05,2023-01-10,619.6159099573085
2023-01-05,Produto A,840.9485430051682,0.0,C062,2023-02-04,2023-02-04,840.9485430051682
2023-01-05,Suporte,1002.4925202329711,0.0,C202,2023-02-04,2023-01-30,1002.4925202329711
2023-01-05,Despesa Patrocínios,0.0,924.8551770704628,MKT,2023-01-05,2023-01-05,924.8551770704628
2023-01-05,Pagamento Seguros,0.0,727.7904776561961,FIN,2023-01-05,2023-01-07,727.7904776561961
2023-01-05,Produto A,626.1368566553231,0.0,C287,2023-02-04,2023-02-03,626.1368566553231
2023-01-05,Produto B,1507.2778975876033,0.0,C014,2023-02-04,2023-01-30,1507.2778975876033
2023-01-05,Assinatura Anual,1319.4571559587146,0.0,C372,2023-02-04,2023-02-18,1319.4571559587146
2023-01-06,Produto C,1253.5415297599109,0.0,C417,2023-02-05,2023-02-12,1253.5415297599109
2023-01-06,Produto C,1713.7894974177102,0.0,C184,2023-02-05,2023-01-31,1713.7894974177102
2023-01-06,Produto A,1156.2371504523521,0.0,C227,2023-02-05,2023-02-01,1156.2371504523521
2023-01-06,Assinatura Trimestral,828.4742768508003,0.0,C473,2023-02-05,2023-02-13,828.4742768508003
2023-01-06,Produto A,1299.7264096926242,0.0,C432,2023-02-05,2023-02-19,1299.7264096926242
2023-01-06,Produto C,1342.4324372907254,0.0,C062,2023-02-05,2023-02-05,1342.4324372907254
2023-01-06,Suporte,705.4653809300016,0.0,C272,2023-02-05,2023-02-12,705.4653809300016
2023-01-06,Suporte,1204.5624610787897,0.0,C110,2023-02-05,2023-02-17,1204.5624610787897
2023-01-06,Assinatura Trimestral,1282.9888662014448,0.0,C403,2023-02-05,2023-02-06,1282.9888662014448
2023-01-07,Produto C,765.3568331193546,0.0,C013,2023-02-06,2023-02-20,765.3568331193546
2023-01-07,Despesa Patrocínios,0.0,460.13899748382454,FIN,2023-01-07,2023-01-12,460.13899748382454
2023-01-07,Pagamento Impostos,0.0,714.5717778330185,S008,2023-01-07,2023-01-07,714.5717778330185
2023-01-07,Produto B,1317.6646078730823,0.0,C469,2023-02-06,2023-02-19,1317.6646078730823
2023-01-07,Despesa Patrocínios,0.0,789.5336056875036,G006,2023-01-07,2023-01-11,789.5336056875036
2023-01-07,Marketing,0.0,787.1523264367196,MKT,2023-01-07,2023-01-08,787.1523264367196
