Data;Descrição;Valor Pago;Meio Pagto;Cancelado
30/12/2024;2 X RATICIDA KROMAX ;R$ 20,00;Dinheiro;Não
30/12/2024;1 X PORTA SANFONADA 0,80X2.10M BRANCA PLASTILIT;R$ 140,03;Cartão de Débito;Não
30/12/2024;1 X CHUVEIRO DUCHA LOREN SHOWER ELETRONIC 220V 7500W;R$ 174,53;Cartão de Crédito;Não
30/12/2024;"1 X TORNEIRA FILTRO CROMADO 5"" ACQUABIOS 
1 X FITA DEMARCACAO AZUL 48MMX15M TEKBOND
1 X FITA DUPLA FACE ESPUMA 24MM ATE 750G TEKBOND
1 X TAMPAO PLASTICO LAVATORIO LUCONI";R$ 190,87;Cartão de Crédito;Não
30/12/2024;"2 X CAIXA LUZ AMARELA EMBUTIR 4X2 TRAMONT.
1 X ALICATE UNIVERSAL 8"" FERTAK 
1 X TOMADA DUPLA 20A 2P+T COMPLETO RADIAL
1 X TOMADA 20A 2 POLOS + TERRA RADIAL
1 X FITA ISOLANTE 19MMX10M ADELBRAS
1 X INTERRUPTOR PARALELO 10A RADIAL
6 X FIO PARALELO 2X2,50MM BRANCO METRO MEGATRON
1 X LAMPADA LED BULBO 15W BRANCA BLUMENAU
1 X ESTILETE 18MM BRASFORT
2 X CANALETA COM FITA COLANTE PRETA 20MMX2MT ALUMBRA";R$ 181,03;Cartão de Débito;Não
30/12/2024;1 X KIT PINTURA FLEX 65505 C/5PCS ROMA;R$ 38,38;Transferencia;Não
30/12/2024;"1 X LIXA MADEIRA 50 TATU (AMARELA)
1 X LIXA MASSA 80 NORTON
1 X LIXA MASSA 60 TATU (VERMELHA)";R$ 5,00;Dinheiro;Não
30/12/2024;1 X VARAO CORTINA 2,0M BRANCO FINO STD;R$ 21,61;Transferencia;Não
30/12/2024;1 X MANGUEIRA MAQ.LAVAR SAIDA 2,20M FERE;R$ 18,48;Cartão de Débito;Não
30/12/2024;"1 X BROCA WIDEA 10MMX150MM MAKITA
1 X BROCA WIDEA 8MMX110MM MAKITA";R$ 27,32;Cartão de Débito;Não
30/12/2024;"2 X PORCA BORBOLETA 3/8
2 X ARRUELA 3/8 UNIDADE";R$ 4,70;Dinheiro;Não
30/12/2024;1 X TORNEIRA COM FILTRO PAREDE BICA MOVEL BR ACQUA BELLA;R$ 156,71;Cartão de Crédito;Não
30/12/2024;2 X PARAFUSO CHATO 3,5X40 UNIDADE;R$ 0,70;Dinheiro;Não
30/12/2024;1 X SERRA ACO BIMETAL 24 DENTES UN. STARRETT;R$ 13,03;Transferencia;Não
30/12/2024;1 X KIT PINTURA FLEX 65505 C/5PCS ROMA;R$ 38,38;Dinheiro;Não
30/12/2024;"4 X BUCHA DRYWALL 08 TIJOLO OCO SFOR UN.
4 X BUCHA DRYWALL 10 TIJOLO OCO SFOR UN
4 X BUCHA 10 COM ANEL UNIDADE";R$ 8,40;Dinheiro;Não
30/12/2024;"3 X TRANQUETA NIQUELADA 99086 SILVANA ZAMAC
5 X PARAFUSO MADEIRA PHS 32X12 JOMARCA";R$ 27,63;Cartão de Débito;Não
30/12/2024;3 X LAMPADA LED GLOBO 30W E27 6500K BLUMENAU;R$ 68,40;Cartão de Débito;Não
30/12/2024;3 X FITA ADESIVA MULTIUSO 20CM VEDATUDO METRO;R$ 40,00;Dinheiro;Não
30/12/2024;"1 X NIPEL ROSCAVEL 1/2 PLASTILIT
1 X TEE ROSCAVEL 1/2 PLASTILIT
1 X ENGATE FLEXIVEL 50CM BRANCO LUCONI
1 X MECANISMO COMPLETO UNIVERSAL C/ HUE2 SUPERIOR";R$ 110,10;Dinheiro;Não
30/12/2024;"1 X SUPORTE TV FIXO FIXO 10/90 BRASFORMA
1 X CANALETA COM FITA COLANTE PRETA 20MMX2MT RADIAL
1 X FITA DUPLA FACE 24MMX2MM ATE 5KG 3M";R$ 66,98;Cartão de Crédito;Não
30/12/2024;1 X PINO MACHO 10A 2P+T PRETO TRANSMOBIL;R$ 5,77;Transferencia;Não
30/12/2024;"10 X SACO ENTULHO UNIDADE
1 X CONDUITE AMARELO 20MM 1/2 METRO ADTEX
3 X CAIXA LUZ AMARELA EMBUTIR 4X2 TRAMONT.
5 X COTOVELO 25X90 PLASTILIT
1 X TEE 25 PLASTILIT 
1 X COTOVELO AZUL 25X1/2 PLASTILIT 
3 X BARRA CANO 25 - 3/4"" PLASTILIT - METRO";R$ 73,01;Cartão de Débito;Não
30/12/2024;2 X FUSIVEL VIDRO 20AG 10A;R$ 1,60;Cartão de Débito;Não
30/12/2024;2 X VEDANTE 3/4 METAL COURO;R$ 2,00;Dinheiro;Não
30/12/2024;1 X LUMINARIA LED SOBREPOR 18W QUADRADO LED BEE;R$ 35,73;Cartão de Débito;Não
30/12/2024;2 X FUSIVEL VIDRO 20AG 2A;R$ 1,40;Transferencia;Não
30/12/2024;1 X ANEL VEDANTE CARRAPETA 3/4 (SO BORRACHA);R$ 3,49;Transferencia;Não
30/12/2024;"1 X FITA DUPLA FACE 12MMX1,5 ESPUMA TEKBOND
1 X FITA DUPLA FACE ESPUMA 24MM ATE 750G TEKBOND";R$ 29,16;Cartão de Débito;Não
30/12/2024;1 X TOMADA 20A 2 POLOS + TERRA RADIAL;R$ 9,29;Cartão de Crédito;Não
30/12/2024;1 X MATA CUPIM JIMO INSETICIDA AEROSOL 400ML;R$ 50,23;Cartão de Débito;Não
